Recruiting_Year,Season_Years,Season,Recruiting_Rank,Team,Full_Program_Name,Top_100_Commits,Conference,Highest_Ranked_Commit_Name,Commit_Rank,Commit_Position_Short,Commit_Position,Key_Player_Features,team_canonical,program_name_canonical,feature_text_clean,season,recruiting_year,height_ft,height_inches,is_point_guard,is_guard,is_wing,is_forward,is_center,is_big,is_wing_or_forward,strength_shooting_3pt,strength_slashing_rim_pressure,strength_playmaking_passing,strength_rebounding,strength_defense,strength_versatility,strength_athleticism,strength_post_skill,strength_international_honors,primary_strength,secondary_strength,player_archetype,n_strength_flags,commit_rank_bucket
2026,2026-2027,2027.0,18,Louisville,Louisville Cardinals,2,ACC,Ariyana Cradle,34,PG,Point Guard,Tough-nosed guard; fearlessly attacks rim and makes strong decisions in pick-and-roll.,Louisville,Louisville Cardinals,Tough-nosed guard; fearlessly attacks rim and makes strong decisions in pick-and-roll.,2027,2026,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,playmaking_passing,slashing_rim_pressure,Playmaking Guard,2,21-35
2026,2026-2027,2027.0,19,Minnesota,Minnesota Golden Gophers,2,Big Ten,Natalie Kussow,40,G,Guard,5-10 shifty lefty scorer; knocks down 3s and gets to free throw line with epic scoring bursts.,Minnesota,Minnesota Golden Gophers,5-10 shifty lefty scorer; knocks down 3s and gets to free throw line with epic scoring bursts.,2027,2026,5.833,70.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,shooting_3pt,,Guard,1,36-60
2026,2026-2027,2027.0,20,Kansas,Kansas Jayhawks,2,Big 12,Cydnee Bryant,33,F,Forward,6-3 physical force and dual-sport star; can knock down 3s trailing the play or in corner.,Kansas,Kansas Jayhawks,6-3 physical force and dual-sport star; can knock down 3s trailing the play or in corner.,2027,2026,6.25,75.0,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,shooting_3pt,athleticism,Shooting Wing,2,21-35
2025,2025-2026,2026.0,1,LSU,LSU Tigers,4,SEC,Grace Knox,6,F,Forward,Intense defensive competitor; attacks glass with high energy and has range beyond the 3.,LSU,LSU Tigers,Intense defensive competitor; attacks glass with high energy and has range beyond the 3.,2026,2025,,,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,shooting_3pt,slashing_rim_pressure,Shooting Wing,3,6-10
2025,2025-2026,2026.0,2,Tennessee,Tennessee Lady Volunteers,5,SEC,Mia Pauldo,9,PG,Point Guard,Dynamic playmaker with energy; shoots well from deep and is a ball pressure expert defensively.,Tennessee,Tennessee Lady Volunteers,Dynamic playmaker with energy; shoots well from deep and is a ball pressure expert defensively.,2026,2025,,,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,shooting_3pt,,Guard,1,6-10
2025,2025-2026,2026.0,3,Stanford,Stanford Cardinal,4,ACC,Hailee Swain,8,G,Guard,Premier defender with USA Basketball experience; fantastic game off the bounce.,Stanford,Stanford Cardinal,Premier defender with USA Basketball experience; fantastic game off the bounce.,2026,2025,,,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,slashing_rim_pressure,defense,Scoring Guard,2,6-10
2025,2025-2026,2026.0,4,South Carolina,South Carolina Gamecocks,2,SEC,Agot Makeer,6,W,Wing,6-1 versatile player capable of logging minutes at lead guard or as a slashing wing scorer.,South Carolina,South Carolina Gamecocks,6-1 versatile player capable of logging minutes at lead guard or as a slashing wing scorer.,2026,2025,6.083,73.0,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,slashing_rim_pressure,versatility,Scoring Guard,2,6-10
2025,2025-2026,2026.0,5,North Carolina,North Carolina Tar Heels,3,ACC,Nyla Brooks,13,W,Wing,Slashing wing with a serious pull-up jumper; lengthy and impactful on the defensive end.,North Carolina,North Carolina Tar Heels,Slashing wing with a serious pull-up jumper; lengthy and impactful on the defensive end.,2026,2025,,,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,slashing_rim_pressure,athleticism,Wing / Forward,2,11-20
2025,2025-2026,2026.0,6,UConn,UConn Huskies,2,Big East,Kelis Fisher,25,PG,Point Guard,Excels in transition; high defensive impact with ball pressure and improved 3-point shooting.,UConn,UConn Huskies,Excels in transition; high defensive impact with ball pressure and improved 3-point shooting.,2026,2025,,,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,shooting_3pt,,Guard,1,21-35
2025,2025-2026,2026.0,7,Kansas,Kansas Jayhawks,3,Big 12,Jaliya Davis,19,F,Forward,Elite operator in paint; hard to keep off glass with advanced face-up game and soft touch.,Kansas,Kansas Jayhawks,Elite operator in paint; hard to keep off glass with advanced face-up game and soft touch.,2026,2025,,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,rebounding,post_skill,Wing / Forward,2,11-20
2025,2025-2026,2026.0,8,Kansas State,Kansas State Wildcats,3,Big 12,Jordan Speiser,16,G,Guard,Best shooter in country; added ability to take contact on drives to balance offensive attack.,Kansas State,Kansas State Wildcats,Best shooter in country; added ability to take contact on drives to balance offensive attack.,2026,2025,,,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,shooting_3pt,slashing_rim_pressure,Scoring Guard,2,11-20
2025,,,9,Illinois,Illinois Fighting Illini,4,Big Ten,Destiny Jackson,29,,,Pushes ball well; brings heavy defensive ball pressure and is creative off bounce to rim.,Illinois,Illinois Fighting Illini,Pushes ball well; brings heavy defensive ball pressure and is creative off bounce to rim.,2026,2025,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,slashing_rim_pressure,,General Prospect,1,21-35
2025,2025-2026,2026.0,10,Miami,Miami Hurricanes,4,ACC,Camille Williams,36,G,Guard,Three-level scorer with steady maturity; breakthrough senior year leading to a state title.,Miami,Miami Hurricanes,Three-level scorer with steady maturity; breakthrough senior year leading to a state title.,2026,2025,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,36-60
2025,2025-2026,2026.0,11,Mississippi State,Mississippi State Bulldogs,3,SEC,Jaylah Lampley,37,G,Guard,6-1 forward/wing; 3-and-D specialist who spaces floor for spot-up 3s and slashes.,Mississippi State,Mississippi State Bulldogs,6-1 forward/wing; 3-and-D specialist who spaces floor for spot-up 3s and slashes.,2026,2025,6.083,73.0,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,shooting_3pt,slashing_rim_pressure,Scoring Guard,3,36-60
2025,2025-2026,2026.0,12,UCLA,UCLA Bruins,1,Big Ten,Sienna Betts,2,P,Post,Dominant on the block; facilitates well out of double-teams and can face up off bounce.,UCLA,UCLA Bruins,Dominant on the block; facilitates well out of double-teams and can face up off bounce.,2026,2025,,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,Big / Frontcourt,0,Top 5
2025,2025-2026,2026.0,13,Oklahoma,Oklahoma Sooners,3,SEC,Aaliyah Chavez,3,G,Guard,"Ultimate confident shotmaker; tally points from deep, pull-up, and free throw line.",Oklahoma,Oklahoma Sooners,"Ultimate confident shotmaker; tally points from deep, pull-up, and free throw line.",2026,2025,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,shooting_3pt,,Guard,1,Top 5
2025,2025-2026,2026.0,14,Washington,Washington Huskies,2,Big Ten,Brynn McGaughy,21,F,Forward,6-2 versatile player; can play physical post game or finesse off-the-bounce game.,Washington,Washington Huskies,6-2 versatile player; can play physical post game or finesse off-the-bounce game.,2026,2025,6.167,74.0,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,post_skill,versatility,Interior Big,3,21-35
2025,2025-2026,2026.0,15,Cincinnati,Cincinnati Bearcats,2,Big 12,Darianna Alexander,11,G,Guard,Big guard; pushes tempo as lead guard and rebounds exceptionally at both ends.,Cincinnati,Cincinnati Bearcats,Big guard; pushes tempo as lead guard and rebounds exceptionally at both ends.,2026,2025,,,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,rebounding,post_skill,Interior Big,2,11-20
2025,2025-2026,2026.0,16,Utah,Utah Utes,2,Big 12,Leonna Sneed,28,PG,Point Guard,Pure point guard; look to set table for teammates and one of best on-ball defenders in country.,Utah,Utah Utes,Pure point guard; look to set table for teammates and one of best on-ball defenders in country.,2026,2025,,,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,defense,,Guard,1,21-35
2025,2025-2026,2026.0,17,Alabama,Alabama Crimson Tide,3,SEC,Lourdes Da Silva Costa,51,F,Forward,"High IQ player; touch out to top of key, good passer/screener, and physical on glass.",Alabama,Alabama Crimson Tide,"High IQ player; touch out to top of key, good passer/screener, and physical on glass.",2026,2025,,,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,rebounding,athleticism,Wing / Forward,2,36-60
2025,2025-2026,2026.0,18,Georgia,Georgia Lady Bulldogs,3,SEC,Zhen Craft,46,F,Forward,Long and active with big upside; major impact on defensive end and glass at high pace.,Georgia,Georgia Lady Bulldogs,Long and active with big upside; major impact on defensive end and glass at high pace.,2026,2025,,,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,rebounding,post_skill,Interior Big,3,36-60
2025,2025-2026,2026.0,19,Michigan,Michigan Wolverines,3,Big Ten,McKenzie Mathurin,39,W,Wing,Shooter with scorer's mentality; strong build allows for post-ups and versatile guard/forward play.,Michigan,Michigan Wolverines,Shooter with scorer's mentality; strong build allows for post-ups and versatile guard/forward play.,2026,2025,,,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,shooting_3pt,post_skill,Shooting Wing,3,36-60
2025,2025-2026,2026.0,20,California,California Golden Bears,2,ACC,Aliyahna Morris,22,PG,Point Guard,Quiet but relentless; plays well out of pick-and-roll and brings defensive pressure.,California,California Golden Bears,Quiet but relentless; plays well out of pick-and-roll and brings defensive pressure.,2026,2025,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,playmaking_passing,,Playmaking Guard,1,21-35
2024,2024-2025,2025.0,1,USC,USC Trojans,5,Pac-12,Kennedy Smith,6,"W,F","Wing,Forward","Physically gifted athlete; can guard inside to perimeter, attacks glass, and slashes to rim.",USC,USC Trojans,"Physically gifted athlete; can guard inside to perimeter, attacks glass, and slashes to rim.",2025,2024,,,False,True,True,True,False,False,True,False,True,False,True,True,False,True,False,False,slashing_rim_pressure,defense,Scoring Guard,4,6-10
2024,2024-2025,2025.0,2,UConn,UConn Huskies,3,Big East,Sarah Strong,1,F,Forward,Ultra-versatile forward; stretches floor with long-range 3s and has advanced passing/facilitating skills.,UConn,UConn Huskies,Ultra-versatile forward; stretches floor with long-range 3s and has advanced passing/facilitating skills.,2025,2024,,,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,shooting_3pt,playmaking_passing,Shooting Wing,4,Top 5
2024,2024-2025,2025.0,3,South Carolina,South Carolina Gamecocks,3,SEC,Joyce Edwards,2,F,Forward,Stat-stuffing forward; force on the glass with range out to 3-point line and versatile defender.,South Carolina,South Carolina Gamecocks,Stat-stuffing forward; force on the glass with range out to 3-point line and versatile defender.,2025,2024,,,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,shooting_3pt,defense,Shooting Wing,4,Top 5
2024,2024-2025,2025.0,4,UCLA,UCLA Bruins,3,Pac-12,Kendall Dudley,18,F,Forward,Elite utility player and excellent passer; can lead offense or play wing/forward.,UCLA,UCLA Bruins,Elite utility player and excellent passer; can lead offense or play wing/forward.,2025,2024,,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,,,Wing / Forward,0,11-20
2024,2024-2025,2025.0,5,Texas,Texas Longhorns,3,Big 12,Jordan Lee,9,G,Guard,Lockdown perimeter defender with steady offensive improvement in shot creation and 3-point percentage.,Texas,Texas Longhorns,Lockdown perimeter defender with steady offensive improvement in shot creation and 3-point percentage.,2025,2024,,,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,shooting_3pt,slashing_rim_pressure,Scoring Guard,3,6-10
2024,2024-2025,2025.0,6,Louisville,Louisville Cardinals,4,ACC,Imari Berry,19,G,Guard,Dynamic scorer who plays with flair; effective off the bounce and can score in bunches.,Louisville,Louisville Cardinals,Dynamic scorer who plays with flair; effective off the bounce and can score in bunches.,2025,2024,,,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,slashing_rim_pressure,athleticism,Scoring Guard,2,11-20
2024,2024-2025,2025.0,7,Duke,Duke Blue Devils,3,ACC,Toby Fournier,10,F,Forward,"Dunking sensation; sprints floor with ease, blocks shots, and skies for rebounds.",Duke,Duke Blue Devils,"Dunking sensation; sprints floor with ease, blocks shots, and skies for rebounds.",2025,2024,,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,rebounding,,Wing / Forward,1,6-10
2024,2024-2025,2025.0,8,Michigan,Michigan Wolverines,2,Big Ten,Syla Swords,4,G,Guard,All-around player and three-level scorer with international experience; makes others better.,Michigan,Michigan Wolverines,All-around player and three-level scorer with international experience; makes others better.,2025,2024,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,Top 5
2024,2024-2025,2025.0,9,Florida,Florida Gators,2,SEC,Alivia McGill,15,PG,Point Guard,True point guard excelling in transition and pick-and-roll; added consistency from 3-point range.,Florida,Florida Gators,True point guard excelling in transition and pick-and-roll; added consistency from 3-point range.,2025,2024,,,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,shooting_3pt,playmaking_passing,Playmaking Guard,2,11-20
2024,2024-2025,2025.0,10,Ohio State,Ohio State Buckeyes,3,Big Ten,Jaloni Cambridge,2,G,Guard,Baseline-to-baseline blur who lives in the paint; excellent on-ball pressure defensively.,Ohio State,Ohio State Buckeyes,Baseline-to-baseline blur who lives in the paint; excellent on-ball pressure defensively.,2025,2024,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,Guard,0,Top 5
2024,2024-2025,2025.0,11,Kentucky,Kentucky Wildcats,1,SEC,Lexi Blue,40,G,Guard,Big guard with serious range on her 3-pointer and a quick release.,Kentucky,Kentucky Wildcats,Big guard with serious range on her 3-pointer and a quick release.,2025,2024,,,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,shooting_3pt,post_skill,Interior Big,3,36-60
2024,2024-2025,2025.0,12,Georgia Tech,Georgia Tech Yellow Jackets,3,ACC,Danielle Carnegie,29,G,Guard,Crafty scoring guard; creates own shot in small spaces and is a creative finisher at the rim.,Georgia Tech,Georgia Tech Yellow Jackets,Crafty scoring guard; creates own shot in small spaces and is a creative finisher at the rim.,2025,2024,,,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,playmaking_passing,slashing_rim_pressure,Playmaking Guard,2,21-35
2024,2024-2025,2025.0,13,Iowa,Iowa Hawkeyes,4,Big Ten,Ava Heiden,42,F,Forward,"Fundamental post with a strong base; patient, poised, and helps the flow of game plans.",Iowa,Iowa Hawkeyes,"Fundamental post with a strong base; patient, poised, and helps the flow of game plans.",2025,2024,,,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,post_skill,,Interior Big,1,36-60
2024,2024-2025,2025.0,14,Washington,Washington Huskies,1,Pac-12,Devin Coppinger,39,G,Guard,Athletic and competitive guard with a knack for pull-up jumpers and 3-point effectiveness.,Washington,Washington Huskies,Athletic and competitive guard with a knack for pull-up jumpers and 3-point effectiveness.,2025,2024,,,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,shooting_3pt,athleticism,Guard,2,36-60
2024,2024-2025,2025.0,15,North Carolina,North Carolina Tar Heels,3,ACC,Blanca Thomas,32,C,Center,"6-5 center; protects the paint, is a tough cover on the block, and shoots well from 3.",North Carolina,North Carolina Tar Heels,"6-5 center; protects the paint, is a tough cover on the block, and shoots well from 3.",2025,2024,6.417,77.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,Big / Frontcourt,0,21-35
2024,2024-2025,2025.0,16,Georgia,Georgia Lady Bulldogs,4,SEC,Indya Davis,67,G,Guard,"Crafty all-around guard; moves well without ball, has nice pull-up and 3-point shots.",Georgia,Georgia Lady Bulldogs,"Crafty all-around guard; moves well without ball, has nice pull-up and 3-point shots.",2025,2024,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,shooting_3pt,,Guard,1,61-100
2024,2024-2025,2025.0,17,NC State,NC State Wolfpack,2,ACC,Zamareya Jones,21,PG,Point Guard,"Small, quick playmaking guard; dynamic off bounce and knocks down 3s with range.",NC State,NC State Wolfpack,"Small, quick playmaking guard; dynamic off bounce and knocks down 3s with range.",2025,2024,,,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,shooting_3pt,playmaking_passing,Playmaking Guard,3,21-35
2024,2024-2025,2025.0,18,Miami,Miami Hurricanes,2,ACC,Leah Harmon,33,G,Guard,Combo guard; major threat in catch-and-shoot 3s and an excellent passer.,Miami,Miami Hurricanes,Combo guard; major threat in catch-and-shoot 3s and an excellent passer.,2025,2024,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,shooting_3pt,,Guard,1,21-35
2024,2024-2025,2025.0,19,Stanford,Stanford Cardinal,3,Pac-12,Kennedy Ume,44,F,Forward,Major physical presence inside with strong base; attacks off dribble and carves space for boards.,Stanford,Stanford Cardinal,Major physical presence inside with strong base; attacks off dribble and carves space for boards.,2025,2024,,,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,slashing_rim_pressure,athleticism,Wing / Forward,2,36-60
2024,2024-2025,2025.0,20,Maryland,Maryland Terrapins,2,Big Ten,Kyndal Walker,35,G,Guard,Lightning fast in open court; uses athleticism to finish and changes pace well.,Maryland,Maryland Terrapins,Lightning fast in open court; uses athleticism to finish and changes pace well.,2025,2024,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,athleticism,,Guard,1,21-35
2023,2023-2024,2024.0,1,LSU,LSU Tigers,4,SEC,Mikaylah Williams,2,G,Guard,A physical guard and arguably the best one-on-one isolation player in the class with gold medal experience in 3x3 and FIBA.,LSU,LSU Tigers,A physical guard and arguably the best one-on-one isolation player in the class with gold medal experience in 3x3 and FIBA.,2024,2023,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,athleticism,,Guard,1,Top 5
2023,2023-2024,2024.0,2,South Carolina,South Carolina Gamecocks,4,SEC,Milaysia Fulwiley,13,PG,Point Guard,"Entertaining playmaker with the ball on a string, creative passing, and a knack for knocking down clutch shots.",South Carolina,South Carolina Gamecocks,"Entertaining playmaker with the ball on a string, creative passing, and a knack for knocking down clutch shots.",2024,2023,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,playmaking_passing,,Playmaking Guard,1,11-20
2023,2023-2024,2024.0,3,Arizona,Arizona Wildcats,3,Pac-12,Montaya Dew,8,F,Forward,"Versatile, long and springy forward who can facilitate the offense as a point forward and knock down 3-pointers.",Arizona,Arizona Wildcats,"Versatile, long and springy forward who can facilitate the offense as a point forward and knock down 3-pointers.",2024,2023,,,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,shooting_3pt,versatility,Shooting Wing,3,6-10
2023,2023-2024,2024.0,4,UConn,UConn Huskies,3,Big East,Kamorea Arnold,6,PG,Point Guard,"Quick and physical point guard who is a tough competitor, relentless defender, and can score off the dribble.",UConn,UConn Huskies,"Quick and physical point guard who is a tough competitor, relentless defender, and can score off the dribble.",2024,2023,,,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,slashing_rim_pressure,defense,Scoring Guard,3,6-10
2023,2023-2024,2024.0,5,Notre Dame,Notre Dame Fighting Irish,3,ACC,Hannah Hidalgo,5,PG,Point Guard,"Shifty, speedy and aggressive lead guard who is a relentless on-ball defender and improved 3-point shooter.",Notre Dame,Notre Dame Fighting Irish,"Shifty, speedy and aggressive lead guard who is a relentless on-ball defender and improved 3-point shooter.",2024,2023,,,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,shooting_3pt,defense,Guard,2,Top 5
2023,2023-2024,2024.0,6,Duke,Duke Blue Devils,3,ACC,Jadyn Donovan,3,G,Guard,"Dynamic player with a polished pull-up jumper, mature vision, and high impact on rebounding and defense.",Duke,Duke Blue Devils,"Dynamic player with a polished pull-up jumper, mature vision, and high impact on rebounding and defense.",2024,2023,,,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,defense,rebounding,Guard,2,Top 5
